english,tamil
Observations on Cabinet Memoranda,அமைச்சரவை விஞ்ஞாபனம் தொடர்பான அவதானிப்புக்கள்
"During the year 2014, the department prepared observations to 399 Cabinet Memoranda for the Hon. Minister of Finance and Planning.",2014 ஆம் ஆண்டின் போது கௌரவ நிதி திட்டமிடல் அமைச்சரிற்காக 399 அமைச்சரவை விஞ்ஞாபனங்கள்  திணைக்களத்தினால் அவதானிப்புகளாக  தயாரிக்கப்பட்டது.
Coordinating “Deyata Kirula” Development Program 2014,“தேசத்திற்கு மகுடம்” அபிவிருத்தி நிகழ்ச்சித்திட்டத்தினை ஒருங்கிணைத்தல் - 2014
"The Department of National Budget has been involved in coordination of Deyata Kirula National Development programme such as, organizing pre-discussions, identification of areas to implement the program, identification of ongoing and new development projects in respective areas and expedite and prioritize, preparing & submitting Cabinet Memorandum, participating in National Operational Committees & Procurement Committees and overall fund management.","ஆரம்ப கலந்துரையாடல்களை ஏற்பாடு செய்தல், செயற்திட்ட செயற்படுத்துகை பிரதேசங்களை இனம் காணுதல் , உரிய பிரதேசங்களில் புதிய மற்றும் இடம்பெற்று வரும் அபிவிருத்திக் செயற்றிட்டங்களை இனம்காணுதல், அமைச்சரவை விஞ்ஞாபனங்களை தயாரித்தலும் சமர்ப்பித்தலும் , தேசிய தொழிற்பாட்டு குழு மற்றும் கொள்வனவுக் குழு என்பவற்றில் பங்குபற்றுதல் மற்றும்முழுமொத்த நிதி முகாமைத்துவம் போன்ற விடயங்களில் தேசத்திற்கு மகுடம் தேசிய அபிவிருத்தி நிகழ்ச்சித்திட்டத்தினை ஒருங்கிணைப்பதில் தேசிய வரவு செலவுத்திட்டத் திணைக்களம் பங்களிப்புச் செய்துள்ளது."
"In addition, the National Budget Department was responsible in releasing the funds timely for the projects and programmes approved by the Cabinet ensuring their smooth implementation.","இதற்கு மேலாக , தேசிய வரவுசெலவுத்திட்டத் திணைக்களமானது ,   அமைச்சரவையினால் அங்கீகரிக்கப்பட்ட  திட்டங்கள் மற்றும் நிகழ்ச்சிகளிற்கு , அவற்றினுடைய  சீரான அமுல்படுத்தலிற்கு ,  உரிய நேரத்தில் நிதியை வழங்குவதற்கு பொறுப்பாக இருந்தது."
Approval for the Purchase of Vehicles,வாகனங்கள் கொள்வனவுக்கான அங்கீகாரம்
National Budget Approval for Vehicle Procurements,வாகனங்கள் கொள்வனவுக்கான தேசிய வரவு செலவுத்திட்ட அங்கீகாரம்
"In terms of the Cabinet decision of 31st January 1990, the National Budget Department grants approval for purchase of vehicles by Government Institutions. All ministries, departments, provincial councils, local authorities and all statutory boards, corporations and government owned companies (GOCs) whether under self-financing or otherwise, had to obtain the prior approval of the Committee for any such purchase.","அரசாங்க நிறுவனங்களின் வாகனங்கள் கொள்வனவுக்கான அங்கீகாரத்தினை 1990 ஜனவரி 31 ஆம் திகதிய அமைச்சரவை தீர்மானத்திற்கு அமைவாக, தேசிய வரவு செலவுத்திட்டத் திணைக்களம் வழங்கியுள்ளதோடு அனைத்து அமைச்சுக்கள், திணைக்களங்கள், மாகாண சபைகள், உள்ளுராட்சி மன்றங்கள் மற்றும் அனைத்து நியதிச்சட்ட சபைகள், கூட்டுத்தாபனங்கள் மற்றும் அரசாங்க உடமைக் கம்பனிகள் என்பவற்றினால் சுயநிதியின் மூலம் அல்லது வேறு ஏற்பாடுகளின் மூலம் வாகனங்கள் கொள்வனவுக்காக     தேசிய வரவு செலவுத்திட்ட திணைக்களத்தினுடைய அத்தகைய முன்அங்கீகாரம் பெறவேண்டி இருந்தது ."
"Accordingly, The National Budget Department continued reviewing the requests for procurement of vehicles by various government agencies and given approvals.","இதற்கமைவாக, பல்வேறுபட்ட அரசாங்க முகவராண்மைகளினால் வாகனங்கள் கொள்வனவுக்கான வேண்டுகோள்களை தேசிய வரவு செலவுத்திட்டத் திணைக்களம் தொடர்ந்து மீளாய்வு செய்வதுடன் அங்கீகாரம் வழங்கியுள்ளது."
"During the year 2014, the Department has given approval for purchase of 1496 vehicles and N0. Of vehicles purchased by each category stated the table below.",2014 ஆம் ஆண்டின்போது இத்திணைக்களமானது 1496 வாகனக் கொள்வனவுக்கான அங்கீகாரத்தினை வழங்கியுள்ளது.
"Table 4.1: Vehicles approved by the Department of National Budget by Vehicle type, in 2014",அட்டவணை 4.1 :  2014  இல் தேசிய வரவு செலவுத் திட்ட திணைக்களத்தினால் அங்கீகாரம் வழங்கப்பட்ட வாகனங்கள்
Type of Vehicle,வாகனத்தின் வகை
No. of vehicles approved,அங்கீகரிக்கப்பட்ட  வாகனங்களின் எண்ணிக்கை
Motor Cars,மோட்டார் கார்கள்
Jeeps,ஜீப்
Vans,வான்கள்
Buses,பேரூந்துகள்
Cabs(Single / Double/Crew),(ஒற்றை / இரட்டை / குழு) கெப்
Three wheelers,முச்சக்கர வண்டி
Lorries / Trucks,லொறிகள் / ட்ரக்குகள்
Motor cycles,மோட்டார் சைக்கிள்கள்
Ambulances,அம்பியூலன்ஸ்கள்
"Others (Tractors/ Trailers/ Water Bowsers, etc.)","ஏனையவை (ட்ரக்டர்/ட்ரெயிலர்/தண்ணீர் பவுசர்கள்,போன்றன...)"
Source - Department of National Budget,மூலம் - தேசிய வரவுசெலவுத் திட்ட திணைக்களம்
Procurement of Vehicles to the Public Sector,அரசாங்கத்துறைக்கு வாகனங்கள் கொள்வனவு
"Continuing the purchasing of vehicles for the use of government agencies on financial leasing method with approval of the Cabinet of Ministers on 30/08/2010, the government has made an attempt to manage the public expenditure efficiently.",நிதிக் குத்தகை முறைமையில் அரசாங்க நிறுவனங்களின் பயன்பாட்டுக்காக வாகனங்களின் கொள்வனவு 2010.08.30 ஆம் திகதி அமைச்சரவையினால் அங்கீகரிக்கப்பட்டவாறு தொடர்ந்து மேற்கொள்ளப்பட்டதுடன் அரசாங்கம் பொதுச் செலவினத்தினை வினைத்திறன் மிக்கதாக முகாமை செய்வதற்கு முயற்சிகளை மேற்கொண்டது.
This method was applied as a part of cash flow management as the cost of vehicles could be distributed over 05 years.,வாகனத்தின் செலவினம் 05 வருடங்களுக்கு மேலாகப் பகிரப்படுகின்றது என்ற வகையில் காசுப் பாய்ச்சலை  முகாமையின் ஓர் பகுதியாக  இம்முறைமை பிரயோகிக்கப்பட்டது.
"However, at the end the vehicle becomes an asset of the concerned agency.","இருப்பினும், இறுதியில் வாகனம் குறித்த நிறுவனத்திற்கு உரிய ஆதனமாக  மாறுகின்றது."
"Accordingly, the Department of National Budget has continued purchasing vehicles for government agencies by calling competitive bidding from the state leasing companies of Banks.","இதற்கமைவாக, தேசிய வரவுசெலவுத்திட்ட திணைக்களமானது அரசாங்க நிறுவனங்களுக்கான வாகனங்களைக் கொள்வனவை , அரச வங்கிகளின் குத்தகைக் கம்பனிகளில் இருந்து கேள்வி மனுக்கள் கோரப்படுவதன் மூலம் செய்து வருகின்றது ."
"Upto now 3,916 vehicles have been purchased, including the vehicles used for CHOGM, on leasing installments to be paid over 05 years period in equal monthly installments.","இதுவரைக்கும் பொதுநலவாய மாநாட்டுக்காகப்  பயன்படுத்தப்பட்ட வாகனங்கள் உள்ளடங்கலாக 3,916 வாகனங்கள் , 5 வருடங்களுக்கு மாதாந்தம் சமமாக செலுத்தகச கூடிய தவணைக் கட்டுப்பணத்தில்  கொள்வனவு செய்யப்பட்டுள்ளது."
The purchased vehicles have been distributed among government agencies on the basis of a need assessment conducted by the Department of National Budget in consultation with relevant agencies.,கொள்வனவு செய்யப்பட்ட வாகனங்கள் தேசிய வரவுசெலவுத்திட்ட திணைக்களத்தினால் நடாத்தப்பட்ட தேவை அடிப்படையிலான மதிப்பீட்டிற்கிணங்க அரசாங்க நிறுவனங்களுக்கு பகிர்ந்தளிக்கப்பட்டன.
Participation of Staff on Boards and Committees,சபைகளிலும் குழுக்களிலும் பதவியணியினர் பங்குபற்றுதல்கள்
"Most of the staff officers of this Department have served as Directors (Treasury Representatives) on the Boards of Directors of Statutory Boards, Public Corporations and Government owned Companies (GOCs), while some Officers have served as Members	of Cabinet Appointed Tender Boards (CATBs),	and Technical Evaluation Committees (TECs) representing the secretary to the Treasury in these committees.","இத்திணைக்களத்தின் பெரும்பாலான பதவிநிலை அலுவலர்கள் நியதிச் சட்டசபைகள், அரசாங்க கூட்டுத்தாபனங்கள் மற்றும் அரசாங்க உடைமை கம்பனிகளின் பணிப்பாளர் சபையின் பணிப்பாளர்களாக (திறைசேரி பிரதிநிதிகளாக) பணியாற்றியுள்ளனர். அத்துடன் அமைச்சரவையினால் நியமிக்கப்பட்ட கேள்விப்பத்திரச் சபைகள் மற்றும் தொழில்நுட்ப மதிப்பீட்டுக் குழுக்களின் உறுப்பினர்களாக திறைசேரி செயலாளர் சார்பாக நியமனம் பெற்றனர்."
"In addition, Staff Officers of this Department attended meetings of the Committee on Public Accounts (COPA) and the Committee on Public Enterprises (COPE) in Parliament, representing the department.","அதற்கு மேலதிகமாக ,  இந்தத்திணைக்களத்தின் பதவிநிலை அலுவலர்கள் பாராளுமன்றத்தின் அரசாங்க கணக்குகள் குழு மற்றும் அரசாங்க தொழில் முயற்சிகள் குழு என்பவற்றில் திணைக்களத்தினை பிரதிநிதித்துவப்படுத்தும் வகையில் பங்குபற்றினர்."
The Organizational Structure and Role of the Department of National Budget,தேசிய வரவு செலவுத்திட்டத் திணைக்களத்தின் நிறுவன கட்டமைப்பு
The Organizational Structure and role of the National Budget Department have been constructed with a categorization under the following comprehensive sectors which represent the provisions of Liner Ministries expenditure estimates.,தேசிய வரவுசெலவுத் திட்டத் திணைக்களத்தின் நிறுவனக் கட்டமைப்பு மற்றும் அதன் வகிபாகம் நிரல் அமைச்சுக்களின் செலவின மதிப்பீடுகளின் ஏற்பாடுகளை பிரதிநிதித்துப் படுத்தும் பின்வரும் துறைகளின் கீழ் வகுப்பாக்கமொன்று செய்யப்பட்டுள்ளது.
Public Services,அரசாங்க சேவை
National Security and Law Enforcement,தேசிய பாதுகாப்பு மற்றும் சட்ட அமுல்படுத்துகை
Human Resources,மனித வளங்கள்
Infrastructure,உட்கட்டமைப்பு
Finance,நிதி
Social Security,சமூகப் பாதுகாப்பு
Environment,சுற்றாடல்
Real Economy,மெய்ப் பொருளாதாரம்
Staff,திணைக்களத்தின் பதவியணி
Numbers of Officers under the following service levels were in the Organizational structure of NBD in year 2014 as per the Public Administration Circular No. 06/2006.,பொது நிர்வாக உள்நாட்டலுவல்கள் அமைச்சின் 06/2006 ஆம் இலக்க சுற்று நிருபத்துக்கு அமைவாக 2014 இல் தேசிய வரவு செலவுத் திட்டத் திணைக்களத்தின் நிறுவனக் கட்டமைப்புக்குள் பின்வரும் சேவை மட்டங்களின் கீழ் அலுவலர்கள் கடமையாற்றியுள்ளனர்.
Service Level,சேவை மட்டம்
Senior Level,சிரேஷ்ட மட்டம்
Tertiary Level,மூன்றாம் நிலை மட்டம்
Secondary Level,இரண்டாம் நிலை மட்டம்
Primary Level,ஆரம்ப மட்டம்
No. of Officers,அலுவலர்களின் எண்ணிக்கை
"As at the end of the year 2014, the approved cadre and the actual cadre of the department were as follows.",2014 ஆம் ஆண்டின் இறுதியில் உள்ளவாறு திணைக்களத்தின் அங்கீகரிக்கப்பட்ட பதவியணியும் தற்பொழுது காணப்படும் பதவியணியும் பின்வருமாறு.
Table 5.1: Cadre of the Year - 2014,அட்டவணை 5.1 : 2013 ஆம் ஆண்டிற்கான பதவியணி
Approved No. of officers,அங்கீகரிக்கப்பட்ட   பதவியணி
Actual No. of Officers,உண்மையான    பதவியணி
Director General,பணிப்பாளர் நாயகம்
Additional Director General,மேலதிகப் பணிப்பாளர் நாயகம்
Assistant Director,உதவிப் பணிப்பாளர்
Accountant,கணக்காகாளர்
Administrative Officer,நிர்வாக அலுவலர்
Translator,மொழிபெயர்ப்பாளர்
Project Officer,செயற்றிட்ட அலுவலர்
Budget Assistant,வரவுசெலவுத் திட்ட உதவியாளர்
Research Assistant,ஆராய்ச்சி உதவியாளர்
Office Assistant,அலுவலக உதவியாளர்
"The department has directed its staff to the following local and foreign training programmes in 2014, in order to enhance their professional skills and working efficiency, in addition to attending various meetings in their official capacities.","இத் திணைக்களமானது அதன் பதவியணியினர் தமது அலுவலக ஆற்றல்களில் பல்வேறு கூட்டங்களில் கலந்துகொள்வதற்கு மேலதிகமாக, அவர்களின் உயர்தொழில் திறமைகள் மற்றும் செயற்றிறன் என்பவற்றினை அதிகரிக்கும் பொருட்டு 2014 ஆம் ஆண்டில் பின்வரும் உள்நாட்டு மற்றும் பயிற்சி நிகழ்ச்சித் திட்டங்களுக்காக அனுப்ப முடியுமாக இருந்தது."
Foreign Trainings/Seminars/ Meetings,வெளிநாட்டு பயிற்சி/கருத்தரங்குகள்/கூட்டங்கள்
Table 5.2: Foreign Trainings/Seminars/ Meetings- 2014,அட்டவணை 5.2 - வெளிநாட்டு பயிற்சி/கருத்தரங்குகள்/கூட்டங்கள் - 2014
Name of the Officer,அலுவலரின் பெயர்
Programme,நிகழ்ச்சி
Trained Country,பயிற்சி நாடு
Duration of the training,பயிற்சிக் காலம்
International Monetary Fund / World Bank Spring Meeting,சர்வதேச நாணய நிதி / உலக வங்கி வசந்தக் கூட்டம்
Washington,வஷிங்டன்
11.04.2014 - 13.04.2014,11.04.2014 - 13.04.2014
Sri Lanka Investment & Business Promotional Seminar,இலங்கை முதலீட்டு வியாபார ஊக்குவிப்பு கலந்துரையாடல்
Sweden,ஸ்வீடன்
27.11.2014,27.11.2014
Additional Director General,மேலதிக பணிப்பாளர் நாயகம்
United Nations Economic and Social Commission for the Pacific - Asia (70th Session)phase I (ESCAP),ஆசிய பசிபிக் நாடுகளுக்கான ஐக்கிய நாடுகளின் பொருளாதார மற்றும் சமூக ஆணையம் 70 ஆவது அமர்வு – கட்டம் I
Bangkok - Thailand,பெங்கொக்  - தாய்லாந்து
23.05.2014,23.05.2014
United Nations Economic and Social Commission for the Pacific - Asia (70th Session)Phase II(ESCAP),ஆசிய பசிபிக் நாடுகளுக்கான ஐக்கிய நாடுகளின் பொருளாதார மற்றும் சமூக ஆணையம் 70 ஆவது அமர்வு – கட்டம் II
Thailand,தாய்லாந்து
04.08.2014,04.08.2014
Bangkok,பெங்கொக்
08.08.2014,08.08.2014
Workshop & Parliamentary Briefing on Sustainable Immunization Financing,பயிற்சி பட்டறையும் பேண்தகு நிதி தடுப்பில் பாராளுமன்ற சுருக்கமும்
Cambodia,கம்போடியா
20.07.2014 - 23.07.2014,20.07.2014 - 23.07.2014
Non-communicable Disease in the South –East Region,தென் கிழக்கு பிராந்தியத்தில் தொற்றா நோய்கள்
India,இந்தியா
18.08.2014 - 21.08.2014,18.08.2014 - 21.08.2014
Local Trainings,உள்நாட்டுப் பயிற்சிகள்
The following staff members were given local training in different fields in the year 2014.,2014 ஆம் ஆண்டில் பின்வரும் பதவி உறுப்பினர்களுக்கு பல்வேறு துறைகளில் உள்நாட்டுப் பயிற்சிகள் வழங்கப்பட்டன.
Table 5.3: Local Trainings,அட்டவணை 5.3 :உள்நாட்டுப் பயிற்சிகள்
Programme,நிகழ்ச்சித் திட்டம்
Institute,நிறுவனம்
Duration,காலம்
Postgraduate Diploma in Economic Development,பொருளாதார அபிவிருத்தியில் பட்டப்பின் படிப்பு டிப்ளோமா
University of Colombo,கொழும்பு பல்கலைக்கழகம்
01.01.2014 - 31.12.2014,01.01.2014 - 31.12.2014
Asst. Director,உதவிப் பணிப்பாளர்
Development Officer,அபிவிருத்தி அலுவலர்
Postgraduate Degree - Economics,பொருளாதார பட்டப்பின் படிப்பு
University of Kelaniya,களனி பல்கலைக்கழகம்
2014/2015,2014 /2015
Budget Assistant,அபிவிருத்தி அலுவலர்
Postgraduate Degree - Economis,பொருளாதாரப் பட்டப்பின் படிப்பு
University of Kelaniya,களனிப் பல்கலைக்கழகம்
Financial Administration of the Department of National Budget,தேசிய வரவு செலவுத் திட்டத் திணைக்களத்தின் நிதி நிர்வாகம்
Budgetary provision required for the normal operations of the Department of National Budget was shown under Head 240 in the Budget Estimates for 2014 and allocations were provided under 2 programmes.,2014 ஆம் ஆண்டிற்கான வரவு செலவுத்திட்ட மதிப்பீட்டில் தேசிய வரவு செலவுத் திட்டத் திணைக்களத்தின் சாதாரண செயற்பாடுகளுக்கான வரவு செலவுத் திட்ட ஏற்பாடுகள் செலவினத் தலைப்பு 240 இன் கீழ் காட்டப்பட்டுள்ளதுடன்  வரவு செலவுத்திட்ட ஒதுக்கீடுகள் கீழே குறிப்பிடப்பட்டவாறு நிகழ்ச்சித் திட்டம் 2 இன் கீழ் ஏற்பாடு செய்யப்பட்டுள்ளது.
a.	Programme	01,அ.    நிகழ்ச்சித்திட்டம்
Operational Activities,01  - தொழிற்பாட்டுச் செயற்பாடுகள்
Project of the Programme,நிகழ்ச்சித்திட்டத்தின் செயற்றிட்டம்
01 Budget Formulation and Policy,01 - வரவு செலவுத் திட்ட உருவாக்கலும் கொள்கையும்
b.	Programme,ஆ. நிகழ்ச்சித்திட்டம்
02  Development Activities,02    அபிவிருத்தி செயற்பாடுகள்.
"The provision related to departmental administrative expenditure on budget formulations and policies was provided by the Project No. 01 while Project 02, provided allocation for facilitating unexpected and unforeseen expenditure required by various spending agencies.","வரவு செலவுத்திட்ட உருவாக்கம் மற்றும் கொள்கைகள் மீதான திணைக்களத்தின் நிர்வாகச் செலவினங்களுடன் தொடர்பான ஏற்பாடுகள் செயற்றிட்டம் 01 இனால் ஏற்பாடு செய்யப்பட்டிருக்கின்ற அதேவேளை, செயற்றிட்டம் 02 ஆனது, பல்வேறு செலவின முகவராண்மைகளினால் தேவைப்படுத்தப்படும்."
The budget also provided for the implementation of the budget proposals announced in the Annual Budget 2014 and the Government's policy priorities.,எதிர்பாராத செலவினங்களுக்கும் 2014 வரவு செலவுத்திட்ட உரையில் அறிவிக்கப்பட்ட வரவு செலவுத்திட்ட முன் மொழிவுகளின் செயற்படுத்துகை மற்றும்  குறித்த நிதியாண்டிற்காக முன்னுரிமைக் கொள்கைகளாக அறிவிக்கப்பட்டவை என்பன தொடர்பான செலவினங்களுக்கும் வசதியளிப்பதற்கான ஒதுக்கீடுகளை ஏற்பாடு செய்கின்றது.
The above total provision was utilized as follows.,இந்த மொத்த ஒதுக்கீடானது பின்வரும் வகையில் பயன்படுத்தப்பட்டது:
(1)	Programme 01,(1) செயற்றிட்டம்
Expenditure of Project,செயற்றிட்டத்தினுடைய செலவினம்
(2)	Programme 02,(2) செயற்றிட்டம்
Provisions transferred to other	Heads under Project,ஏனையவற்றிற்கு ஏற்பாடு மாற்றப்பட்டது
Balance Provision,மீதி ஏற்பாடு
Public Officers' Advance Account Activities,அரசாங்க அலுவலர்களின் முற்பணக் கணக்கு
Table 5.4 - Public Officers' Advance Account for 2014,அட்டவணை 5.4 - 2014 ஆம் ஆண்டுக்கான அரசாங்க அலுவலர்களின் முற்பணக் கணக்கு
Category,வகை
Maximum Limit of Expenditure,செலவின உச்ச எல்லை
Minimum Limit of Receipts,கிடைப்பனவு உச்ச எல்லை
Maximum Limit of Debit Balances,வரவு நிலுவை உச்ச எல்லைகள்
Source - Department of National Budget,மூலம் - தேசிய வரவு செலவுத் திட்டத் திணைக்களம்
"In terms of the Budget Circular No. 114 of 31.12.2003, figures of the above Table comprised only the transactions occurred under the Advance Account item No. 240-under 011, within the department.","2003.12.31 ஆம் திகதி 114 இலக்க, வரவு செலவுத்திட்ட சுற்றறிக்கையின் பிரகாரம், திணைக்கள  செலவினத் தலைப்பிற்கு உட்பட முற்பணக் கணக்கு குறியீடு 240 - 011 இன் கீழ் இடம்பெற்ற கொடுக்கல் வாங்கல்களை மாத்திரமே மேற்படி அட்டவணையிலுள்ள தரவுகள் உள்ளடங்கியுள்ளன."
"According to Circular No. 118, loan balances of officers who had been transferred out or in, were settled with Accounting Heads, under the Advance Account item No. 240-012.","118 ஆம் இலக்க, சுற்றறிக்கைக்கு ஏற்ப, 2013 ஆம் ஆண்டின் பொது அரச அலுவலர்களின்  உள்ளே மற்றும்  வெளியேயான இடமாற்றத்தின் போது முற்பணக் கணக்கு நிலுவைகளை முற்பணக் கணக்கு குறியீடு 240 – 012 இன் கீழ் செலுத்தி முடிக்கப்பட்டது."
"The Department had complied within the authorized limits of Public Officers’ Advance Account, accordingly.","இதன் பிரகாரம், அரச அலுவலர்களின் அனுமதிக்கப்பட்ட முற்பணக் கணக்கு எல்லைகளுடன் திணைக்களம் உடன்பட்டுள்ளது."
Table 5.5 - Loans Given in Year 2014,அட்டவணை 5.5 - 2014 இல் வழங்கப்பட்ட கடன்கள்
Loan/Advance,கடன்கள்/முற்பணம்
Festival Advance,விழா முற்பணம்
Special Advance,விசேட முற்பணம்
Distress and Bicycle Loans,இடர் மற்றும் சைக்கிள் கடன்கள்
Source - Department of National Budget,மூலம் : தேசிய வரவு செலவுத் திட்டத் திணைக்களம்
Auditor General’s Queries for 2014,2014 ஆம் ஆண்டுக்கான கணக்காய்வாளர் நாயகத்தின் கணக்காய்வு வினாக்கள்
"During the year 2014, 07 queries were referred to this Department by the Auditor General and all the quarries were duly answered.",2014 ஆம் ஆண்டின்போது கணக்காய்வாளர் நாயகத்தின் 07 விசாரணைகள் கவனத்திற்குக் கொண்டுவரப்பட்டு அனைத்து விசாரணைகளுக்கும் விடையளிக்கப்பட்டன.
Annual Performance Report,வருடாந்த செயலாற்றுகை அறிக்கை
"Ministry of National Co-existence, Dialogue and Official Languages","தேசிய சகவாழ்வு,  கலந்துரையாடல் மற்றும் அரசகரும மொழிகள் அமைச்சு"
Page number,பக்க இலக்கம்
1.Introduction,1. அறிமுகம்
"2.The Institutional Structure of institutions under the Ministry of National Co-existence, Dialogue and Official Languages","2. தேசிய சகவாழ்வு,  கலந்துரையாடல் மற்றும்  அரசகரும மொழிகள் அமைச்சின்  கீழுள்ள நிறுவனங்களின் கட்டமைப்பு"
"3.The progress of institutions under the Ministry of National Co-Existence, Dialogues and National languages","3. தேசிய சகவாழ்வு, கலந்துரையாடல் மற்றும் அரசகரும மொழிகள் அமைச்சின் கீழுள்ள பிரிவுகள் மற்றும் அவற்றின் செயலாற்றுகைகள்"
3.1.Languages Division,3.1. மொழிகள் பிரிவு
3.2.Social Integration and Ethnic Affairs Division,3.2. சமூக ஒருமைப்பாடு மற்றும் இன அலுவல்கள் பிரிவு
3.3.Administration Division,3.3. நிர்வாகப் பிரிவு
3.4.Planning Division,3.4. திட்டமிடல் பிரிவு
3.5.Finance Division,3.5. கணக்குப் பிரிவு
3.6.Internal Audit Division,3.6. உள்ளகக் கணக்காய்வுப் பிரிவு
4.Department of Official Languages and its Progress,4. அரசகரும மொழிகள் திணைக்களம் மற்றும் அவற்றின் முன்னேற்றம்
5.Official Languages Commission and its progress,5. அரசகரும மொழிகள் ஆணைக்குழு மற்றும் அதன் முன்னேற்றம்
6.National Institute of Language Education and Training and its Progress,6. தேசிய மொழிக் கல்வி மற்றும் பயிற்சி நிறுவகம் மற்றும் அதன் முன்னேற்றம்
7.National Secretariat for Non-Governmental Organizations,7. அரச சார்பற்ற நிறுவனங்களுக்கான தேசிய செயலகம்
8.Foreign Funded Projects under the Ministry,8. அமைச்சின் கீழுள்ள வெளிநாட்டு நிதியுதவிச் செயற்றிட்டங்கள்
8.1.Facilitating Social transformation and integration Projects,8.1. சமூக மாற்றம் மற்றும் ஒருங்கிணைப்பு செயற்றிட்டங்கள் சம்பந்தமான அனுசரணை வழங்கல்
"8.2.Project for enforcement of law, accessing justice and strengthening of social integration.","8.2. சட்ட  அமுலாக்கம், நீதிக்கான அணுகுமுறை  மற்றும் சமூக ஒருங்கிணைப்பை வலுவூட்டும் செயற்றிட்டம்"
9.Allocation of funds,9. நிதி ஒதுக்கீடு
10.Advance accounts,10. முற்பணக் கணக்கு
11.Review,11. மீளாய்வு
01.Introduction,01. அறிமுகம்
"The Ministry of National Co-existence, Dialogue and Official Languages was established under the extraordinary gazette notification of no:1933/13 and dated 21.09.2015.",தேசிய சகவாழ்வு கலந்துரையாடல் மற்றும் அரசகரும மொழிகள் அமைச்சானது 19933/13 ஆம் இலக்க மற்றும்  2015.09.21 ஆம் திகதியுடைய அதிவிஷேட வர்த்தமானி அறிவித்தல் ஊடாக தாபிக்கப்பட்டது.
"Prior to that, the National languages and Social Integration Unit functioned under the Ministry of Public Administration, Provincial Councils and local government and Democratic Governance under the notification of the extraordinary gazette no:1897/15 and dated 18.01.2015 and prior to 08.01.2015 the Ministry had been established as the Ministry of National Languages and Social Integration.","இதற்கு முன்னர், தேசிய மொழிகள் மற்றும் சமூக  ஒருமைப்பாட்டுப் பிரிவானது 1897/15 ஆம் இலக்க 2015.01.18 ஆம் திகதியுடைய  அதிவிஷேட வர்த்தமானி அறிவித்தல் ஊடாக பொது நிர்வாக, மாகாணசபை, உள்ளுராட்சி  மற்றும்  சனநாயக ஆட்சி பற்றிய அமைச்சின் கீழ் இயங்கியதுடன், 2015 ஜனவரி 08 ஆம் திகதிக்கு முன்னர்  தேசிய மொழிகள் மற்றும் சமூக ஒருமைப்பாட்டு அமைச்சாகத் தாபிக்கப்பட்டிருந்தது."
"The Ministry is situated at No:40,Buthgamuwa Road, Rajagiriya.","இவ்வமைச்சானது இல 40, புத்கமுவ வீதி, இராஜகிரிய எனும்  முகவரியில் தாபிக்கப்பட்டுள்ளது."
Vision,தொலைநோக்கு
"A Sri Lankan nation strengthened by diversity, with reestablished coexistence and nourished cultural identities of all communities","பல்வகைத் தன்மையினால் பலமடைந்து, சகவாழ்வு  மீண்டும்  தாபிக்கப்பட்டு, சகல சனசமூகங்களின் கலாசாரம் மற்றும்  தனித்துவங்களால் போசிக்கப்பட்டதுமான ஒரு இலங்கை தேசம்"
Mission,பணிநோக்கு
"Formulating policies, creating dialogues, guiding and facilitating in order to build a developed society with rights of all communities ensured, mutual respect and coexistence and implementing a relevant programme to achieve them.","அனைத்துச் சமூகக் குழுக்களினதும் உரிமைகள் உறுதிசெய்யப்பட்டதும், ஒருவரையொருவர் பரஸ்பரம் மதிக்கின்றதும், ஒத்துழைப்பு  மற்றும் சகவாழ்வுடன் அபிவிருத்தி அடைந்ததுமான சமூகத்தைக் கட்டியெழுப்புவதற்கான கொள்கைகளை உருவாக்குதல், கலந்துரையாடல்களை  ஏற்படுத்தல், வழிகாட்டல், வசதியளித்தல் மற்றும் அவற்றிக்குப் பொருத்தமான நிகழ்ச்சித்திட்டங்களை அமுற்படுத்தல்."
"Activities and functions of the Ministry of National Co-existence, Dialogue and Official Languages","தேசிய சகவாழ்வு, கலந்துரையாடல் மற்றும் அரசகரும மொழிகள் அமைச்சின் செயற்பாடுகள் மற்றும் பணிகள்"
"Formulating Policies, Programmes, Projects regarding the subjects of departments and statutory bodies under the subject of national co-existence and the ministry and monitoring and evaluating them.","தேசிய கலந்துரையாடல்கள் பற்றிய விடயம் மற்றும் அமைச்சின் கீழுள்ள திணைக்களங்கள் மற்றும் சட்டரீதியான நிறுவனங்கள் ஆகியவற்றின் விடயங்கள் தொடர்பான கொள்கைகள், நிகழ்ச்சித்திட்டங்கள் மற்றும் செயற்றிட்டங்களைத் தயாரித்தல், மீளாய்வு செய்தல் மற்றும் மதிப்பிடல்."
Implementation of Official languages policy and related matters.,தேசிய மொழிக் கொள்கையை அமுற்படுத்தல் மற்றும் அதனுடன் தொடர்புடைய செயற்பாடுகள்.
Introducing and implementing necessary programmes of dialogues essential for re-establishment of solidarity and co-existence among ethnic groups.,இனங்களுக்கிடையில் ஒற்றுமை மற்றும் சகவாழ்வினை ஏற்படுத்துவதற்கு தேவையான கலந்துரையாடல் நிகழ்ச்சித்திட்டங்களை அறிமுகப்படுத்தி அவற்றை அமுற்படுத்துதல்.
